open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735689600000000,3337.78000000,3343.02000000,3335.84000000,3340.26000000,707.44280000,1735689899999999,2362700.63989900,6308,334.53330000,1117431.19994300,0
1735689900000000,3340.28000000,3344.01000000,3339.55000000,3342.99000000,437.61740000,1735690199999999,1462736.48387900,4234,279.07480000,932744.68446000,0
1735690200000000,3342.99000000,3349.34000000,3341.91000000,3348.50000000,766.87360000,1735690499999999,2565080.44570100,6092,465.50670000,1557028.11236000,0
1735690500000000,3348.51000000,3352.86000000,3347.62000000,3351.05000000,574.41670000,1735690799999999,1924607.23639300,5290,312.95460000,1048509.86864500,0
1735690800000000,3351.06000000,3353.37000000,3347.72000000,3349.33000000,420.78420000,1735691099999999,1409779.24416400,4383,242.01170000,810789.49881200,0
1735691100000000,3349.33000000,3350.36000000,3347.33000000,3349.43000000,561.70650000,1735691399999999,1880792.34296500,2493,392.35080000,1313689.15039000,0
1735691400000000,3349.43000000,3358.61000000,3349.01000000,3356.80000000,2388.97240000,1735691699999999,8013863.06485200,5616,1676.44800000,5623464.25981400,0
1735691700000000,3356.81000000,3360.00000000,3355.52000000,3359.96000000,792.56210000,1735691999999999,2660920.39632600,3732,436.53130000,1465779.67927300,0
1735692000000000,3359.96000000,3360.99000000,3355.62000000,3356.09000000,322.12640000,1735692299999999,1081876.21155800,3268,186.99380000,628026.38072400,0
1735692300000000,3356.09000000,3358.86000000,3353.89000000,3356.56000000,308.08760000,1735692599999999,1034178.96720800,2868,213.77880000,717642.09067900,0
1735692600000000,3356.56000000,3363.07000000,3355.62000000,3361.42000000,455.93560000,1735692899999999,1531800.42606900,5082,335.75140000,1127954.28951800,0
1735692900000000,3361.42000000,3365.71000000,3359.00000000,3363.70000000,1157.91910000,1735693199999999,3892936.54919700,4924,571.59720000,1921969.56654100,0
1735693200000000,3363.69000000,3366.40000000,3357.53000000,3359.66000000,999.56150000,1735693499999999,3361749.96034000,4782,620.17380000,2086246.59268500,0
1735693500000000,3359.60000000,3360.00000000,3355.00000000,3360.00000000,567.96670000,1735693799999999,1906836.65788400,4648,283.68280000,952356.89878100,0
1735693800000000,3360.00000000,3362.42000000,3358.40000000,3360.93000000,496.41140000,1735694099999999,1668269.98914200,4346,370.03080000,1243506.16698700,0
1735694100000000,3360.92000000,3360.92000000,3353.03000000,3354.56000000,569.18430000,1735694399999999,1909910.36560900,4139,207.67680000,696850.32679200,0
1735694400000000,3354.55000000,3356.84000000,3351.11000000,3354.05000000,381.60960000,1735694699999999,1280193.20251700,3978,251.34090000,843189.66089900,0
1735694700000000,3354.04000000,3355.36000000,3352.61000000,3352.79000000,180.02920000,1735694999999999,603683.74477500,1731,100.61400000,337365.30834600,0
1735695000000000,3352.80000000,3358.28000000,3352.38000000,3356.11000000,594.62280000,1735695299999999,1995158.52785800,4808,379.61160000,1273694.69946200,0
1735695300000000,3356.12000000,3356.85000000,3354.20000000,3354.73000000,238.74970000,1735695599999999,801114.19766500,2703,120.69890000,404996.43121700,0
1735695600000000,3354.72000000,3356.85000000,3352.45000000,3352.46000000,301.23400000,1735695899999999,1010496.44223600,3781,155.33930000,521119.85641400,0
1735695900000000,3352.46000000,3354.30000000,3351.00000000,3353.17000000,575.97210000,1735696199999999,1930995.37656200,3896,412.58560000,1383276.03624600,0
1735696200000000,3353.18000000,3353.44000000,3342.67000000,3343.58000000,966.89160000,1735696499999999,3237193.10737500,5277,333.44940000,1116230.11009500,0
1735696500000000,3343.60000000,3347.69000000,3342.73000000,3346.54000000,265.90470000,1735696799999999,889379.04318300,2633,146.42370000,489732.18583300,0
1735696800000000,3346.54000000,3352.92000000,3346.35000000,3351.94000000,372.22250000,1735697099999999,1246583.13236500,4363,249.01840000,833910.92376800,0
1735697100000000,3351.94000000,3353.14000000,3347.36000000,3348.10000000,528.88440000,1735697399999999,1772320.61830000,4218,225.71510000,756337.24214300,0
1735697400000000,3348.09000000,3354.57000000,3347.80000000,3354.32000000,412.52470000,1735697699999999,1383008.00153500,3917,319.31580000,1070480.07405100,0
1735697700000000,3354.32000000,3354.32000000,3350.20000000,3352.85000000,324.52660000,1735697999999999,1087694.15670300,4298,173.31940000,580889.90074600,0
1735698000000000,3352.86000000,3354.06000000,3349.00000000,3351.37000000,460.63440000,1735698299999999,1543839.58994000,3337,272.58380000,913590.67458300,0
1735698300000000,3351.36000000,3351.36000000,3349.40000000,3349.94000000,328.66420000,1735698599999999,1101026.31148300,1667,140.48300000,470607.09838500,0
1735698600000000,3349.94000000,3354.61000000,3349.93000000,3353.36000000,458.37530000,1735698899999999,1536528.31783700,4061,320.81640000,1075293.68748200,0
1735698900000000,3353.37000000,3360.01000000,3353.36000000,3358.23000000,1610.70840000,1735699199999999,5408635.74685400,4006,800.96430000,2689322.04789700,0
1735699200000000,3358.23000000,3360.01000000,3356.70000000,3357.78000000,934.85540000,1735699499999999,3139807.34586000,3147,539.13380000,1810574.66892700,0
1735699500000000,3357.79000000,3359.40000000,3354.93000000,3355.66000000,910.34660000,1735699799999999,3055397.23710500,3890,238.26830000,799860.53966600,0
1735699800000000,3355.65000000,3368.42000000,3355.37000000,3362.06000000,1996.79960000,1735700099999999,6716006.03086100,5528,1295.93490000,4357609.21141700,0
1735700100000000,3362.07000000,3364.94000000,3361.24000000,3362.61000000,437.26790000,1735700399999999,1470573.10248200,2494,174.44580000,586557.41725900,0
1735700400000000,3362.61000000,3362.75000000,3358.59000000,3360.96000000,939.13150000,1735700699999999,3156711.00658000,2986,501.60490000,1685917.93285100,0
1735700700000000,3360.95000000,3363.72000000,3359.39000000,3359.49000000,273.99860000,1735700999999999,920994.29162100,2719,152.90430000,513896.89127400,0
1735701000000000,3359.50000000,3361.41000000,3359.43000000,3359.68000000,153.05850000,1735701299999999,514286.95859500,1237,83.44520000,280375.26623600,0
1735701300000000,3359.69000000,3359.69000000,3354.50000000,3356.09000000,396.59010000,1735701599999999,1331330.18806800,2229,175.52510000,589198.10460300,0
1735701600000000,3356.08000000,3356.59000000,3351.64000000,3355.23000000,365.04020000,1735701899999999,1224432.35185600,2072,217.60650000,729888.64730500,0
1735701900000000,3355.23000000,3356.38000000,3354.37000000,3354.51000000,273.08880000,1735702199999999,916419.20927900,1478,107.89270000,362071.86894100,0
1735702200000000,3354.51000000,3355.59000000,3353.26000000,3354.01000000,288.72690000,1735702499999999,968507.60989100,1530,128.48890000,430994.84905100,0
1735702500000000,3354.02000000,3356.78000000,3352.00000000,3356.53000000,247.78630000,1735702799999999,831040.55911300,2159,160.09080000,536919.06753600,0
1735702800000000,3356.44000000,3357.15000000,3354.09000000,3355.95000000,340.24040000,1735703099999999,1141673.53589100,1916,124.05860000,416209.22290600,0
1735703100000000,3355.95000000,3356.31000000,3351.00000000,3354.99000000,335.82640000,1735703399999999,1126279.96782600,2398,133.07890000,446295.85357200,0
1735703400000000,3354.99000000,3356.47000000,3354.99000000,3355.83000000,183.07910000,1735703699999999,614422.80454100,933,143.06750000,480141.65589100,0
1735703700000000,3355.84000000,3355.84000000,3354.75000000,3355.20000000,228.89780000,1735703999999999,767946.67026500,677,192.79750000,646822.19175800,0
1735704000000000,3355.20000000,3356.61000000,3351.85000000,3355.66000000,320.83000000,1735704299999999,1076189.23545500,1787,238.03810000,798516.22685100,0
1735704300000000,3355.66000000,3355.66000000,3350.79000000,3350.80000000,218.09860000,1735704599999999,731424.16364000,1235,54.25250000,181961.84096000,0
1735704600000000,3350.80000000,3351.50000000,3348.19000000,3349.10000000,528.96100000,1735704899999999,1771910.96256000,2170,249.64270000,836206.17749400,0
1735704900000000,3349.09000000,3350.36000000,3346.03000000,3349.07000000,391.01710000,1735705199999999,1309017.24379800,2220,240.05650000,803619.74540400,0
1735705200000000,3349.08000000,3351.69000000,3346.92000000,3347.85000000,610.27190000,1735705499999999,2043338.58476500,1914,209.17720000,700262.36486400,0
1735705500000000,3347.85000000,3350.00000000,3347.70000000,3348.21000000,241.43780000,1735705799999999,808505.01740000,1061,136.89030000,458406.45688600,0
1735705800000000,3348.21000000,3350.36000000,3345.00000000,3345.00000000,302.27690000,1735706099999999,1011982.44693300,2295,138.88850000,465047.34827000,0
1735706100000000,3345.00000000,3347.34000000,3344.45000000,3346.01000000,273.29730000,1735706399999999,914402.78795500,1741,144.44550000,483295.03761200,0
1735706400000000,3346.02000000,3348.42000000,3345.32000000,3345.51000000,255.30220000,1735706699999999,854346.90504500,1449,155.34150000,519835.41972600,0
1735706700000000,3345.51000000,3347.15000000,3341.94000000,3345.74000000,507.17390000,1735706999999999,1696473.34874900,2264,329.06610000,1100796.94072000,0
1735707000000000,3345.73000000,3346.79000000,3343.59000000,3343.60000000,257.68840000,1735707299999999,861978.52334300,1649,142.50980000,476672.18020900,0
1735707300000000,3343.60000000,3347.34000000,3339.45000000,3341.14000000,720.29550000,1735707599999999,2408592.67532600,2556,293.36440000,981077.24052600,0
1735707600000000,3341.14000000,3344.05000000,3340.02000000,3344.05000000,285.98010000,1735707899999999,955713.84015600,2001,211.26780000,706012.76892800,0
