open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735772400000000,3361.63000000,3366.79000000,3354.53000000,3356.50000000,3557.00730000,1735774199999999,11951266.20419800,34021,1697.64850000,5704343.19779300,0
1735774200000000,3356.50000000,3361.99000000,3352.66000000,3360.38000000,2567.80230000,1735775999999999,8620131.77720800,22020,1523.07180000,5113081.82061000,0
1735776000000000,3360.39000000,3394.98000000,3354.50000000,3385.04000000,11257.17410000,1735777799999999,38012909.04067300,63779,5847.04380000,19743110.19580400,0
1735777800000000,3385.03000000,3400.00000000,3376.04000000,3389.92000000,14096.27540000,1735779599999999,47820817.98109400,62427,8777.28800000,29783259.34961300,0
1735779600000000,3389.91000000,3405.60000000,3389.75000000,3392.57000000,7732.86650000,1735781399999999,26284539.29852300,50115,3250.93950000,11047655.48866700,0
1735781400000000,3392.57000000,3392.62000000,3377.72000000,3383.92000000,4309.58880000,1735783199999999,14583857.02637100,37217,2058.97570000,6967400.99052800,0
1735783200000000,3383.93000000,3393.57000000,3378.00000000,3389.16000000,3155.70390000,1735784999999999,10688090.32268100,25349,1727.52500000,5851041.78005100,0
1735785000000000,3389.15000000,3398.50000000,3381.63000000,3398.49000000,3493.85830000,1735786799999999,11845036.44600600,29490,1943.30490000,6588226.44629200,0
1735786800000000,3398.49000000,3401.99000000,3387.23000000,3394.39000000,3616.13130000,1735788599999999,12273096.46261100,24536,1767.85430000,6001128.42323800,0
1735788600000000,3394.38000000,3394.91000000,3387.32000000,3388.55000000,4536.89970000,1735790399999999,15383742.63441400,20458,1318.28240000,4469729.61782100,0
1735790400000000,3388.54000000,3395.13000000,3388.00000000,3389.28000000,7188.77340000,1735792199999999,24372852.94282800,26776,3065.90160000,10393232.14032600,0
1735792200000000,3389.28000000,3427.54000000,3388.01000000,3417.69000000,14074.84270000,1735793999999999,48018950.27480600,67485,8830.00340000,30123260.72691200,0
1735794000000000,3417.69000000,3419.14000000,3403.99000000,3416.04000000,4327.59850000,1735795799999999,14761032.90772000,26790,2316.53530000,7902957.81460900,0
1735795800000000,3416.04000000,3418.25000000,3406.27000000,3412.39000000,4754.66630000,1735797599999999,16229979.07706400,24666,1604.96430000,5478300.59787800,0
1735797600000000,3412.40000000,3415.68000000,3402.13000000,3403.30000000,3204.80030000,1735799399999999,10921684.70622900,26500,1532.55380000,5222927.71356100,0
1735799400000000,3403.30000000,3412.00000000,3402.27000000,3410.37000000,3559.40880000,1735801199999999,12126654.77090400,24306,1776.36830000,6051746.45855000,0
1735801200000000,3410.37000000,3420.00000000,3408.79000000,3418.05000000,4059.24400000,1735802999999999,13863483.22938900,23361,2401.24000000,8201197.43641200,0
1735803000000000,3418.04000000,3422.00000000,3414.23000000,3420.05000000,4209.86070000,1735804799999999,14389380.01427200,18875,1808.20600000,6180801.65808600,0
1735804800000000,3420.06000000,3433.00000000,3416.75000000,3418.29000000,6523.41250000,1735806599999999,22345567.19164800,28384,3190.44450000,10929628.20006900,0
1735806600000000,3418.30000000,3442.62000000,3414.21000000,3437.93000000,6257.65080000,1735808399999999,21458542.06906300,37198,3727.10700000,12784036.41821800,0
1735808400000000,3437.92000000,3445.99000000,3434.40000000,3445.46000000,6755.41390000,1735810199999999,23240958.20215600,46702,3012.21290000,10362633.79528000,0
1735810200000000,3445.47000000,3470.00000000,3438.66000000,3467.95000000,10220.48550000,1735811999999999,35301926.88806700,54139,6171.22620000,21320622.19367900,0
1735812000000000,3467.94000000,3476.00000000,3457.99000000,3471.17000000,7235.41790000,1735813799999999,25075037.77400900,46612,3769.33800000,13064187.32049000,0
1735813800000000,3471.16000000,3475.51000000,3463.83000000,3468.81000000,5940.12940000,1735815599999999,20610088.52935200,46612,2831.74340000,9825622.87686700,0
1735815600000000,3468.81000000,3471.96000000,3456.87000000,3465.54000000,4798.53850000,1735817399999999,16620931.49488800,36262,1880.39320000,6513808.26995100,0
1735817400000000,3465.55000000,3475.00000000,3465.21000000,3471.18000000,3726.58360000,1735819199999999,12935574.44855000,24793,1719.17740000,5967412.31351200,0
