open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736510400000000,3311.64000000,3322.49000000,3193.97000000,3267.04000000,302809.20810000,1736553599999999,987113605.54608600,2020750,149190.62260000,486202875.05835000,0
1736553600000000,3267.05000000,3280.50000000,3217.56000000,3273.81000000,79557.15010000,1736596799999999,258198452.80835500,579157,37053.37830000,120334244.74424000,0
1736596800000000,3273.81000000,3320.18000000,3258.30000000,3282.83000000,72122.59860000,1736639999999999,236734842.54990700,629620,37149.40930000,122015932.39975100,0
1736640000000000,3282.83000000,3290.91000000,3224.49000000,3253.02000000,63567.10590000,1736683199999999,207437511.15826500,459304,30591.26380000,99873714.50921100,0
1736683200000000,3253.03000000,3300.00000000,3234.38000000,3267.30000000,101312.86500000,1736726399999999,331314200.88752200,692604,47721.26940000,156116292.80477900,0
1736726400000000,3267.30000000,3339.00000000,3055.88000000,3057.16000000,303109.83380000,1736769599999999,964445452.05001900,1977872,144798.55360000,461340586.75114400,0
1736769600000000,3057.15000000,3143.20000000,2920.00000000,3137.51000000,542797.73310000,1736812799999999,1650379183.10442000,2922376,266158.24780000,809690212.46032400,0
1736812800000000,3137.51000000,3256.67000000,3125.65000000,3217.62000000,166208.39420000,1736855999999999,530042783.31934600,1105122,82899.79700000,264446205.05861100,0
1736856000000000,3217.61000000,3240.69000000,3172.12000000,3225.63000000,208100.05750000,1736899199999999,667672737.57968000,1341163,97943.56350000,314307840.61863300,0
1736899200000000,3225.63000000,3252.35000000,3186.36000000,3199.60000000,131008.04060000,1736942399999999,422341389.81065600,876094,58746.24110000,189416148.27128600,0
1736942400000000,3199.61000000,3473.75000000,3186.73000000,3451.52000000,333179.99340000,1736985599999999,1115065967.55611500,1813394,175235.47720000,586386867.13478200,0
1736985600000000,3451.51000000,3460.79000000,3300.21000000,3351.27000000,197597.20660000,1737028799999999,665133376.83977100,1000885,91081.80380000,306782824.51633100,0
1737028800000000,3351.26000000,3365.95000000,3265.44000000,3308.05000000,273685.47210000,1737071999999999,908379197.23508000,1666622,136588.06830000,453553393.91199000,0
1737072000000000,3308.04000000,3439.00000000,3307.50000000,3423.24000000,219643.71250000,1737115199999999,742664863.84832200,1143179,117753.06030000,398235722.69485200,0
1737115200000000,3423.25000000,3525.72000000,3395.14000000,3473.63000000,298906.46880000,1737158399999999,1030348603.46077100,2022703,151548.45300000,522600781.46159400,0
1737158400000000,3473.64000000,3494.39000000,3227.00000000,3311.62000000,361905.67620000,1737201599999999,1203488531.99284800,2115765,177929.65310000,591582355.24849200,0
